Id,Date,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories_file2,Calories_file3,StepTotal,WeightKg,WeightPounds,Fat,BMI,IsManualReport,LogId
1503960366,2016-04-12,1.0,327.0,346.0,13162,8.5,8.5,0.0,1.879999995,0.550000012,6.059999943,0.0,25,13,328,728,1985,1985,13162,,,,,,
1503960366,2016-04-13,2.0,384.0,407.0,10735,6.96999979,6.96999979,0.0,1.570000052,0.689999998,4.710000038,0.0,21,19,217,776,1797,1797,10735,,,,,,
1503960366,2016-04-14,,,,10460,6.739999771,6.739999771,0.0,2.440000057,0.400000006,3.910000086,0.0,30,11,181,1218,1776,1776,10460,,,,,,
1503960366,2016-04-15,1.0,412.0,442.0,9762,6.28000021,6.28000021,0.0,2.140000105,1.25999999,2.829999924,0.0,29,34,209,726,1745,1745,9762,,,,,,
1503960366,2016-04-16,2.0,340.0,367.0,12669,8.159999847,8.159999847,0.0,2.710000038,0.409999996,5.039999962,0.0,36,10,221,773,1863,1863,12669,,,,,,
1503960366,2016-04-17,1.0,700.0,712.0,9705,6.480000019,6.480000019,0.0,3.190000057,0.779999971,2.50999999,0.0,38,20,164,539,1728,1728,9705,,,,,,
1503960366,2016-04-18,,,,13019,8.590000153,8.590000153,0.0,3.25,0.639999986,4.710000038,0.0,42,16,233,1149,1921,1921,13019,,,,,,
1503960366,2016-04-19,1.0,304.0,320.0,15506,9.880000114,9.880000114,0.0,3.529999971,1.320000052,5.03000021,0.0,50,31,264,775,2035,2035,15506,,,,,,
1503960366,2016-04-20,1.0,360.0,377.0,10544,6.679999828,6.679999828,0.0,1.960000038,0.479999989,4.239999771,0.0,28,12,205,818,1786,1786,10544,,,,,,
1503960366,2016-04-21,1.0,325.0,364.0,9819,6.340000153,6.340000153,0.0,1.340000033,0.349999994,4.650000095,0.0,19,8,211,838,1775,1775,9819,,,,,,
1503960366,2016-04-22,,,,12764,8.130000114,8.130000114,0.0,4.760000229,1.120000005,2.24000001,0.0,66,27,130,1217,1827,1827,12764,,,,,,
1503960366,2016-04-23,1.0,361.0,384.0,14371,9.039999962,9.039999962,0.0,2.809999943,0.870000005,5.360000134,0.0,41,21,262,732,1949,1949,14371,,,,,,
1503960366,2016-04-24,1.0,430.0,449.0,10039,6.409999847,6.409999847,0.0,2.920000076,0.209999993,3.279999971,0.0,39,5,238,709,1788,1788,10039,,,,,,
1503960366,2016-04-25,1.0,277.0,323.0,15355,9.800000191,9.800000191,0.0,5.289999962,0.569999993,3.940000057,0.0,73,14,216,814,2013,2013,15355,,,,,,
1503960366,2016-04-26,1.0,245.0,274.0,13755,8.789999962,8.789999962,0.0,2.329999924,0.920000017,5.539999962,0.0,31,23,279,833,1970,1970,13755,,,,,,
1503960366,2016-04-27,,,,18134,12.21000004,12.21000004,0.0,6.400000095,0.409999996,5.409999847,0.0,78,11,243,1108,2159,2159,18134,,,,,,
1503960366,2016-04-28,1.0,366.0,393.0,13154,8.529999733,8.529999733,0.0,3.539999962,1.159999967,3.789999962,0.0,48,28,189,782,1898,1898,13154,,,,,,
1503960366,2016-04-29,1.0,341.0,354.0,11181,7.150000095,7.150000095,0.0,1.059999943,0.5,5.579999924,0.0,16,12,243,815,1837,1837,11181,,,,,,
1503960366,2016-04-30,1.0,404.0,425.0,14673,9.25,9.25,0.0,3.559999943,1.419999957,4.269999981,0.0,52,34,217,712,1947,1947,14673,,,,,,
1503960366,2016-05-01,1.0,369.0,396.0,10602,6.809999943,6.809999943,0.0,2.289999962,1.600000024,2.920000076,0.0,33,35,246,730,1820,1820,10602,,,,,,
