Id,Date,TotalMinutesAsleep,TotalTimeInBed,TotalSteps,TotalDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories
1503960366,2016-04-12,327.0,346.0,13162,8.5,1.879999995,0.550000012,6.059999943,25,13,328,728,1985
1503960366,2016-04-13,384.0,407.0,10735,6.96999979,1.570000052,0.689999998,4.710000038,21,19,217,776,1797
1503960366,2016-04-15,412.0,442.0,9762,6.28000021,2.140000105,1.25999999,2.829999924,29,34,209,726,1745
1503960366,2016-04-16,340.0,367.0,12669,8.159999847,2.710000038,0.409999996,5.039999962,36,10,221,773,1863
1503960366,2016-04-17,700.0,712.0,9705,6.480000019,3.190000057,0.779999971,2.50999999,38,20,164,539,1728
1503960366,2016-04-19,304.0,320.0,15506,9.880000114,3.529999971,1.320000052,5.03000021,50,31,264,775,2035
1503960366,2016-04-20,360.0,377.0,10544,6.679999828,1.960000038,0.479999989,4.239999771,28,12,205,818,1786
1503960366,2016-04-21,325.0,364.0,9819,6.340000153,1.340000033,0.349999994,4.650000095,19,8,211,838,1775
1503960366,2016-04-23,361.0,384.0,14371,9.039999962,2.809999943,0.870000005,5.360000134,41,21,262,732,1949
1503960366,2016-04-24,430.0,449.0,10039,6.409999847,2.920000076,0.209999993,3.279999971,39,5,238,709,1788
1503960366,2016-04-25,277.0,323.0,15355,9.800000191,5.289999962,0.569999993,3.940000057,73,14,216,814,2013
1503960366,2016-04-26,245.0,274.0,13755,8.789999962,2.329999924,0.920000017,5.539999962,31,23,279,833,1970
1503960366,2016-04-28,366.0,393.0,13154,8.529999733,3.539999962,1.159999967,3.789999962,48,28,189,782,1898
1503960366,2016-04-29,341.0,354.0,11181,7.150000095,1.059999943,0.5,5.579999924,16,12,243,815,1837
1503960366,2016-04-30,404.0,425.0,14673,9.25,3.559999943,1.419999957,4.269999981,52,34,217,712,1947
1503960366,2016-05-01,369.0,396.0,10602,6.809999943,2.289999962,1.600000024,2.920000076,33,35,246,730,1820
1503960366,2016-05-02,277.0,309.0,14727,9.710000038,3.210000038,0.569999993,5.920000076,41,15,277,798,2004
1503960366,2016-05-03,273.0,296.0,15103,9.659999847,3.730000019,1.049999952,4.880000114,50,24,254,816,1990
1503960366,2016-05-05,247.0,264.0,14070,8.899999619,2.920000076,1.080000043,4.880000114,45,24,250,857,1959
1503960366,2016-05-06,334.0,367.0,12159,8.029999733,1.970000029,0.25,5.809999943,24,6,289,754,1896
1503960366,2016-05-07,331.0,349.0,11992,7.710000038,2.460000038,2.119999886,3.130000114,37,46,175,833,1821
1503960366,2016-05-08,594.0,611.0,10060,6.579999924,3.529999971,0.319999993,2.730000019,44,8,203,574,1740
1503960366,2016-05-09,338.0,342.0,12022,7.71999979,3.450000048,0.529999971,3.74000001,46,11,206,835,1819
1503960366,2016-05-10,383.0,403.0,12207,7.769999981,3.349999905,1.159999967,3.25999999,46,31,214,746,1859
1503960366,2016-05-11,285.0,306.0,12770,8.130000114,2.559999943,1.00999999,4.550000191,36,23,251,669,1783
1644430081,2016-04-29,119.0,127.0,3176,2.309999943,0.0,0.0,2.309999943,0,0,120,1193,2498
